assignment_id,assignment_type,due_date,longevity,value
128,Study for test,400448.38,27.09,2
129,Presentation,458774.5,9.44,3
130,Research paper,126978.36,16.32,3
131,Math problems,399899.83,6.17,1
132,Lab report,201568.22,12.24,3
133,Math problems,196652.11,12.08,1
134,Presentation,741742.46,7.74,4
135,Study for test,721295.46,12.97,3
136,Discussion post,446123.83,6.44,4
137,Research paper,218108.08,10.78,3
138,Research paper,151455.84,5.4,1
139,Essay,436777.98,5.86,1
140,Math problems,634731.05,6.22,3
141,Research paper,33982.99,4.17,5
142,Math problems,82956.27,24.59,3
143,Coding assignment,791168.79,8.98,4
144,Reading,646400.37,3.85,3
145,Research paper,532115.13,10.01,1
146,Study for test,804826.66,5.07,3
147,Discussion post,870781.97,6.16,3
148,Presentation,324251.3,10.38,3
149,Essay,142407.42,11.55,3
150,Essay,246647.0,9.39,2
151,Lab report,705210.1,5.45,4
152,Lab report,298884.25,15.33,2
153,Coding assignment,410300.64,7.86,1
154,Coding assignment,763308.19,22.96,4
155,Research paper,23971.88,14.03,5
156,Essay,57853.11,15.65,3
157,Essay,262276.08,23.4,5
158,Lab report,369220.89,19.85,5
159,Study for test,399689.67,3.81,5
160,Math problems,800463.54,26.25,1
161,Presentation,299502.82,3.27,3
162,Presentation,568782.52,21.31,1
163,Reading,438168.79,9.84,4
164,Reading,205817.89,11.34,2
165,Project,64600.84,4.62,3
166,Discussion post,752477.79,24.26,1
167,Discussion post,157422.79,5.26,4
168,Reading,200565.21,2.42,4
169,Project,33965.83,15.75,2
170,Lab report,673626.04,15.43,5
171,Lab report,243849.63,19.42,4
172,Reading,130015.48,15.55,3
173,Math problems,632674.44,12.89,4
174,Research paper,332012.94,10.59,1
175,Project,562891.14,20.49,2
176,Study for test,514073.11,8.93,3
177,Presentation,841700.25,6.18,4
178,Essay,463009.72,6.71,4
179,Essay,240024.9,3.68,5
180,Research paper,485215.4,21.83,3
181,Study for test,785601.64,18.01,4
182,Math problems,860064.87,1.47,1
183,Reading,772418.5,2.69,4
184,Study for test,185182.35,4.53,2
185,Discussion post,635088.97,11.92,5
186,Study for test,576663.1,3.93,4
187,Project,736505.6,4.22,1
188,Math problems,873131.71,3.22,4
189,Project,801613.2,3.55,2
190,Coding assignment,239882.64,22.11,2
191,Study for test,304123.13,1.66,4
192,Presentation,73728.51,3.83,3
193,Discussion post,579237.93,9.26,3
194,Coding assignment,570203.53,11.39,2
195,Essay,655242.99,26.4,1
196,Coding assignment,179450.26,5.14,3
197,Essay,574252.43,14.71,5
198,Study for test,543500.5,2.93,5
199,Discussion post,782179.75,9.48,5
200,Presentation,254369.1,16.7,5
201,Lab report,491761.37,3.45,2
202,Study for test,844485.63,18.72,4
203,Research paper,469675.32,6.89,2
204,Lab report,282576.3,4.57,5
205,Discussion post,779879.25,10.75,5
206,Coding assignment,260338.48,18.23,1
207,Lab report,251723.35,5.83,1
208,Coding assignment,842633.14,8.7,1
209,Math problems,206765.44,9.32,4
210,Study for test,577339.95,16.1,5
211,Essay,659570.25,8.03,4
212,Discussion post,509373.74,3.2,3
213,Discussion post,714008.88,14.97,4
214,Presentation,502800.21,20.78,5
215,Lab report,856918.06,7.25,3
216,Math problems,181288.25,7.43,3
217,Essay,684615.9,2.88,5
218,Presentation,845799.94,7.48,1
219,Lab report,849525.29,24.4,2
220,Reading,240379.13,16.86,1
221,Project,479952.29,14.09,3
222,Coding assignment,292349.93,4.69,1
223,Math problems,540608.11,12.8,2
224,Study for test,183687.9,18.24,4
225,Math problems,580106.75,8.15,2
226,Discussion post,249094.5,17.73,1
227,Lab report,379810.51,15.34,3
228,Essay,343737.83,1.93,2
229,Research paper,33649.03,12.77,5
230,Lab report,557206.64,21.57,3
231,Math problems,701469.66,5.07,2
232,Lab report,396637.18,13.24,4
233,Reading,114363.23,1.47,4
234,Presentation,753152.26,11.42,5
235,Lab report,619262.49,24.79,3
236,Research paper,659236.6,7.98,1
237,Reading,432708.45,15.21,2
238,Lab report,267106.86,11.82,3
239,Study for test,572184.51,1.69,2
240,Presentation,427166.12,5.08,3
241,Coding assignment,471833.14,17.57,3
242,Project,89106.89,11.1,5
243,Research paper,164425.48,15.87,1
244,Coding assignment,787359.8,12.47,5
245,Research paper,806374.2,2.95,1
246,Research paper,137845.4,12.63,3
247,Study for test,454642.38,9.46,3
248,Presentation,7603.07,2.36,2
249,Research paper,752946.57,9.11,2
250,Essay,199169.43,9.25,2
251,Essay,857921.9,20.6,1
252,Presentation,143511.11,5.16,4
253,Coding assignment,336439.07,10.59,2
254,Math problems,145191.7,21.68,4
255,Essay,853110.26,13.19,4
256,Research paper,180088.11,12.89,2
257,Research paper,600402.71,16.13,5
258,Presentation,682882.25,21.78,5
259,Math problems,231940.38,10.08,3
260,Math problems,788381.42,1.33,4
261,Coding assignment,196767.3,29.62,5
262,Research paper,229658.7,2.52,5
263,Presentation,453916.24,20.92,2
264,Research paper,752457.63,17.61,4
265,Discussion post,742044.63,12.57,5
266,Reading,168468.77,11.15,2
267,Lab report,272499.55,8.56,4
268,Presentation,99481.59,14.39,3
269,Presentation,97497.59,4.8,3
270,Essay,61759.22,3.43,3
271,Essay,228046.03,6.8,3
272,Discussion post,307779.63,19.65,4
273,Discussion post,405088.2,4.6,1
274,Project,339287.46,4.71,1
275,Coding assignment,680341.19,3.66,1
276,Math problems,279466.63,21.95,4
277,Math problems,772697.78,8.28,4
278,Essay,609808.08,17.78,5
279,Lab report,77757.65,12.66,3
280,Math problems,766534.22,5.39,3
281,Lab report,621664.09,9.34,1
282,Discussion post,188362.12,5.46,1
283,Research paper,13982.36,5.38,1
284,Essay,724428.62,11.65,1
285,Math problems,208974.96,19.98,1
286,Essay,727336.41,12.43,2
287,Essay,284680.03,5.82,3
288,Lab report,416539.1,23.09,2
289,Lab report,333366.75,10.54,1
290,Research paper,859259.79,4.83,5
291,Reading,503075.74,14.52,4
292,Lab report,469871.89,3.87,4
293,Project,633187.94,12.11,3
294,Essay,691249.25,7.82,5
295,Math problems,166083.6,5.18,5
296,Project,136348.09,4.34,1
297,Essay,859941.33,4.11,4
298,Essay,504119.8,22.2,4
299,Study for test,442909.05,16.83,1
300,Math problems,433122.65,5.23,1
301,Reading,434732.24,2.25,4
302,Presentation,161250.88,2.36,3
303,Math problems,740261.66,10.23,5
304,Study for test,559858.22,12.99,2
305,Research paper,630916.81,1.35,5
306,Discussion post,748743.33,18.41,4
307,Math problems,760714.51,13.8,3
308,Essay,578884.81,13.0,3
309,Essay,436780.49,13.65,2
310,Lab report,605160.75,5.24,2
311,Study for test,475987.6,11.65,1
312,Discussion post,463590.2,9.7,1
313,Project,649583.01,7.65,2
314,Research paper,663130.3,4.27,1
315,Math problems,342720.46,1.15,2
316,Essay,419016.4,22.04,1
317,Math problems,179600.01,6.0,1
318,Math problems,547592.01,5.86,1
319,Math problems,676307.77,1.16,4
320,Research paper,543101.72,18.05,3
321,Presentation,641300.0,16.7,4
322,Presentation,258465.29,10.73,3
323,Coding assignment,364999.06,14.8,2
324,Lab report,804473.91,5.45,5
325,Math problems,455684.49,19.46,5
326,Coding assignment,502442.43,5.57,2
327,Math problems,817039.37,2.06,1
328,Reading,208475.26,5.91,3
329,Study for test,650591.58,22.21,1
330,Lab report,250611.75,8.41,5
331,Coding assignment,747362.72,13.32,4
332,Coding assignment,415873.7,8.4,4
333,Presentation,184350.7,2.02,3
334,Coding assignment,235741.06,11.04,3
335,Math problems,56053.16,21.54,3
336,Math problems,444880.96,5.81,3
337,Presentation,435276.4,4.71,4
338,Reading,398230.66,11.79,2
339,Presentation,285556.27,3.43,2
340,Math problems,409054.89,11.59,3
341,Reading,572098.61,22.4,5
342,Study for test,752311.99,14.03,4
343,Essay,819900.97,2.2,3
344,Research paper,718238.57,16.09,1
345,Discussion post,666686.61,4.85,1
346,Project,632287.09,6.3,3
347,Coding assignment,92655.45,12.17,4
348,Coding assignment,854696.9,10.77,3
349,Coding assignment,82882.58,9.66,3
350,Lab report,856680.64,26.9,5
351,Reading,867357.27,8.74,5
352,Lab report,69435.89,12.07,1
353,Lab report,750944.83,16.67,1
354,Reading,387230.91,14.34,5
355,Discussion post,248951.83,3.68,2
356,Reading,68656.76,8.13,3
357,Reading,712106.65,14.44,3
358,Presentation,280022.96,4.81,2
359,Presentation,300145.44,5.7,4
360,Discussion post,707629.15,9.05,5
361,Project,236673.99,5.05,3
362,Research paper,72508.6,1.22,3
363,Math problems,335014.68,7.04,4
364,Reading,668824.37,4.27,1
365,Coding assignment,301466.23,2.27,2
366,Math problems,601943.66,8.73,5
367,Presentation,94312.85,16.37,5
368,Math problems,52641.49,13.98,4
369,Lab report,325429.84,4.2,1
370,Essay,676588.07,20.68,1
371,Study for test,163087.58,13.87,1
372,Project,344229.24,13.8,5
373,Discussion post,569617.63,3.62,5
374,Essay,698137.89,5.58,3
375,Study for test,106151.08,17.84,2
376,Lab report,826858.28,5.06,5
377,Research paper,107969.76,4.2,2
378,Coding assignment,39473.92,3.08,2
379,Project,437774.28,15.65,4
380,Presentation,664084.4,6.1,4
381,Project,477188.61,1.23,1
382,Presentation,483712.79,12.75,5
383,Project,650176.92,1.3,2
384,Math problems,859709.11,1.83,4
385,Discussion post,774560.08,11.76,5
386,Coding assignment,440965.14,17.3,1
387,Project,626382.29,5.56,1
388,Lab report,872717.97,11.05,3
389,Presentation,636772.22,4.85,4
390,Coding assignment,261012.53,21.9,4
391,Research paper,784368.88,5.43,2
392,Reading,338153.63,5.23,1
393,Research paper,863351.28,14.73,3
394,Study for test,259927.51,5.73,5
395,Reading,499087.31,5.8,3
396,Reading,712560.53,8.17,4
397,Lab report,772321.99,9.37,5
398,Lab report,380021.97,16.72,3
399,Reading,6481.31,1.48,4
400,Presentation,661888.0,5.32,2
401,Math problems,456143.33,3.83,4
402,Math problems,640970.8,9.2,3
403,Study for test,23751.39,13.82,5
404,Presentation,744883.53,1.66,1
405,Project,589502.35,5.79,2
406,Lab report,230525.81,10.86,4
407,Reading,196633.96,5.5,3
408,Essay,696821.68,13.44,4
409,Discussion post,266281.29,6.3,5
410,Discussion post,129547.65,4.47,3
411,Lab report,147280.68,3.34,3
412,Research paper,679696.57,6.17,1
413,Presentation,485413.81,14.49,3
414,Presentation,307976.44,5.46,1
415,Project,296573.97,5.15,3
416,Presentation,345559.58,1.54,1
417,Discussion post,717359.86,5.52,5
418,Lab report,714551.9,9.62,2
419,Research paper,686334.2,21.43,1
420,Research paper,625058.14,21.55,3
421,Reading,143322.87,8.16,2
422,Essay,655175.71,3.9,5
423,Discussion post,448495.29,12.34,2
424,Study for test,771188.02,10.67,1
425,Math problems,592527.45,8.72,2
426,Coding assignment,258979.52,18.19,2
427,Study for test,147366.84,3.54,4
428,Math problems,676830.13,15.11,5
429,Project,305440.54,4.12,3
430,Math problems,726598.61,18.88,3
431,Research paper,668094.06,11.89,5
432,Research paper,29346.46,16.99,2
433,Math problems,490223.08,1.89,2
434,Discussion post,419737.27,14.31,4
435,Lab report,368426.44,18.89,1
436,Essay,56734.26,13.29,4
437,Reading,861735.1,1.57,1
438,Study for test,61420.77,16.65,2
439,Essay,757195.14,11.04,2
440,Project,540440.21,4.96,2
441,Discussion post,121891.22,11.47,5
442,Research paper,699114.48,10.53,4
443,Discussion post,637418.89,10.16,5
444,Project,576091.43,4.16,1
445,Math problems,659356.15,14.13,1
446,Math problems,81543.79,7.73,4
447,Coding assignment,357975.02,5.08,5
448,Lab report,241585.27,5.81,1
449,Presentation,512759.17,20.16,1
450,Coding assignment,696800.62,3.21,3
451,Coding assignment,596103.49,5.46,4
452,Research paper,282715.18,7.81,2
453,Lab report,844763.28,14.86,1
454,Lab report,833340.93,1.06,1
455,Coding assignment,178506.26,5.36,2
456,Research paper,768346.95,5.95,5
457,Lab report,309604.38,6.03,3
458,Essay,532598.69,9.88,4
459,Reading,170857.18,20.95,3
460,Project,31338.54,5.87,4
461,Essay,158888.53,11.03,3
462,Discussion post,102772.4,9.5,5
463,Essay,298760.95,12.85,4
464,Coding assignment,666047.55,5.08,5
465,Research paper,199085.18,11.33,5
466,Discussion post,708158.62,10.58,1
467,Lab report,133528.12,16.96,1
468,Project,24708.17,7.35,5
469,Math problems,162418.25,9.26,5
470,Project,185078.92,7.73,4
471,Reading,358718.28,4.69,4
472,Coding assignment,241802.89,6.4,1
473,Coding assignment,547723.35,21.24,3
474,Research paper,407266.63,11.74,4
475,Essay,507482.2,8.22,5
476,Math problems,808304.01,10.73,1
477,Research paper,447199.92,11.92,3
478,Presentation,46785.17,18.18,3
479,Research paper,451263.17,6.73,2
480,Lab report,487640.87,4.88,3
481,Math problems,602830.39,10.93,5
482,Study for test,790749.96,17.34,5
483,Discussion post,420280.1,11.29,4
484,Math problems,121114.25,22.45,1
485,Discussion post,858570.6,11.4,3
486,Presentation,496106.07,11.63,3
487,Essay,135886.27,5.35,4
488,Presentation,716945.97,5.73,2
489,Lab report,418208.03,11.33,4
490,Research paper,362791.35,21.24,2
491,Reading,265149.54,15.68,1
492,Lab report,732940.49,11.67,4
493,Essay,138922.36,3.9,3
494,Presentation,843132.55,17.66,5
495,Discussion post,21475.13,3.77,5
496,Presentation,801957.64,4.58,4
497,Coding assignment,28520.29,4.73,2
498,Discussion post,180741.9,11.9,5
499,Research paper,551313.1,2.64,2
500,Essay,784408.07,11.1,2
501,Essay,172214.47,2.77,5
502,Essay,758302.81,5.86,4
503,Math problems,862223.04,3.28,3
504,Research paper,217870.34,17.0,3
505,Reading,396079.27,21.18,5
506,Lab report,138481.17,3.6,1
507,Essay,455190.08,6.72,1
508,Research paper,105358.88,21.86,2
509,Essay,443285.47,21.87,2
510,Project,689040.94,11.72,1
511,Research paper,186372.21,4.54,2
512,Study for test,653173.2,12.43,5
513,Reading,290046.02,29.21,4
514,Study for test,378761.87,11.43,5
515,Math problems,834467.25,4.28,2
516,Project,643103.54,19.36,3
517,Project,441418.97,23.65,1
518,Math problems,768734.94,4.57,2
519,Project,337862.83,6.75,3
520,Coding assignment,783689.36,29.72,5
521,Lab report,513847.93,4.22,5
522,Presentation,788823.81,7.56,5
523,Study for test,780445.5,11.57,3
524,Lab report,372594.72,21.1,2
525,Project,393523.07,5.68,4
526,Research paper,234103.73,7.52,1
527,Research paper,843757.59,1.96,4
528,Lab report,22644.08,3.96,4
529,Project,166997.27,5.89,3
530,Presentation,302066.59,10.43,2
531,Discussion post,62908.67,28.18,5
532,Reading,266684.53,1.47,5
533,Research paper,296959.05,7.89,2
534,Reading,618091.45,13.08,2
535,Math problems,213470.88,8.52,1
536,Coding assignment,368719.67,19.27,2
537,Study for test,190315.97,20.96,3
538,Math problems,265169.09,4.35,3
539,Study for test,473217.4,6.2,3
540,Lab report,699070.88,7.67,2
541,Project,622678.68,24.96,3
542,Lab report,289668.78,7.11,1
543,Discussion post,421696.32,5.32,5
544,Reading,656858.29,5.41,3
545,Presentation,246465.06,2.37,1
546,Reading,474272.58,12.73,4
547,Reading,172308.62,9.17,3
548,Reading,584036.61,20.11,3
549,Presentation,404423.64,2.18,3
550,Reading,153813.6,12.07,1
551,Study for test,763961.5,25.56,4
552,Presentation,730795.23,9.05,2
553,Coding assignment,331026.04,22.39,1
554,Study for test,254900.71,17.15,3
555,Project,169251.18,6.19,1
556,Lab report,783734.88,14.33,2
557,Coding assignment,854003.11,17.9,4
558,Lab report,383035.77,1.25,4
559,Essay,392768.08,3.7,4
560,Coding assignment,447426.33,13.94,2
561,Discussion post,808512.84,5.99,4
562,Study for test,226579.14,5.02,5
563,Presentation,180852.12,4.87,3
564,Project,505603.35,16.78,2
565,Presentation,786554.99,16.91,3
566,Study for test,73244.03,4.76,2
567,Reading,809702.12,2.29,2
568,Reading,225624.01,7.07,2
569,Discussion post,39268.74,5.56,2
570,Coding assignment,198693.12,21.72,4
571,Essay,279087.01,5.54,2
572,Research paper,428375.15,16.36,2
573,Lab report,610489.81,13.8,3
574,Presentation,825632.63,11.95,1
575,Lab report,841775.22,5.9,4
576,Essay,540278.03,15.36,1
577,Presentation,213752.97,4.59,5
578,Coding assignment,64735.35,1.36,3
579,Research paper,831727.53,23.12,1
580,Coding assignment,427660.59,3.01,4
581,Study for test,453689.78,13.66,4
582,Study for test,150355.67,2.88,3
583,Coding assignment,174856.52,25.78,1
584,Lab report,76762.19,1.7,3
585,Research paper,196762.62,12.95,2
586,Coding assignment,873498.3,1.28,5
587,Math problems,748850.4,5.25,3
588,Research paper,622700.36,7.96,4
589,Project,147550.15,5.74,5
590,Lab report,145700.31,4.31,3
591,Coding assignment,829831.41,1.36,3
592,Coding assignment,775097.34,6.94,5
593,Presentation,782731.87,9.03,3
594,Study for test,659576.05,8.48,3
595,Research paper,369076.26,10.22,1
596,Study for test,795608.05,4.25,3
597,Lab report,52523.02,5.85,3
598,Lab report,32455.73,19.57,1
599,Project,856179.49,13.58,3
600,Reading,581621.47,14.02,5
601,Lab report,781045.03,10.17,3
602,Math problems,501400.18,20.09,4
603,Project,831772.61,6.43,2
604,Essay,872650.93,5.17,3
605,Coding assignment,700737.61,15.68,2
606,Lab report,174864.55,17.2,5
607,Research paper,289075.47,9.49,5
608,Coding assignment,316494.19,16.94,4
609,Math problems,414382.44,2.3,3
610,Discussion post,745804.47,6.84,4
611,Lab report,84307.61,27.64,4
612,Math problems,751447.97,7.67,4
613,Presentation,640747.67,24.07,5
614,Coding assignment,712846.1,5.72,1
615,Reading,636503.89,12.42,1
616,Research paper,472873.25,8.22,3
617,Discussion post,86418.48,2.55,3
618,Study for test,611962.51,2.16,1
619,Project,363883.8,10.8,4
620,Discussion post,226484.97,17.43,4
621,Reading,600704.02,2.34,1
622,Discussion post,88649.96,4.02,4
623,Study for test,327936.83,1.89,5
624,Research paper,328763.3,3.38,2
625,Study for test,571137.22,14.69,3
626,Reading,333720.82,2.37,3
627,Discussion post,214187.83,3.71,1
628,Discussion post,318353.4,14.36,2
629,Essay,497098.12,6.38,1
630,Reading,420955.72,4.17,2
631,Math problems,385413.72,3.23,5
632,Reading,382949.68,18.06,2
633,Essay,634673.59,27.96,3
634,Study for test,188653.24,8.38,5
635,Presentation,532846.83,5.27,1
636,Coding assignment,319136.3,1.26,3
637,Coding assignment,761482.42,7.94,1
638,Research paper,631374.09,14.18,3
639,Lab report,444792.41,1.0,3
640,Math problems,637324.54,3.16,1
641,Coding assignment,671120.64,24.53,5
642,Coding assignment,54745.23,9.41,1
643,Math problems,281493.74,11.74,3
644,Study for test,496909.83,6.72,3
645,Discussion post,591514.04,19.28,5
646,Research paper,588972.13,13.43,3
647,Project,720123.53,2.86,2
648,Research paper,522498.42,22.63,3
649,Study for test,382349.01,26.13,1
650,Research paper,479095.27,5.48,4
651,Discussion post,165708.8,13.56,1
652,Reading,17226.77,8.45,2
653,Discussion post,173846.44,7.28,4
654,Research paper,111376.99,13.85,1
655,Presentation,155898.46,23.97,2
656,Coding assignment,585550.57,10.32,4
657,Lab report,279971.08,2.84,1
658,Reading,430515.56,3.08,3
659,Essay,459811.1,9.98,3
660,Lab report,296501.37,10.47,1
661,Math problems,707900.61,7.91,3
662,Presentation,834944.63,4.2,4
663,Essay,699524.89,14.03,4
664,Study for test,613534.04,16.61,4
665,Coding assignment,790865.35,6.59,3
666,Project,768402.59,10.75,4
667,Math problems,46540.02,2.0,5
668,Math problems,588253.02,6.78,1
669,Discussion post,547152.79,12.77,3
670,Project,414913.13,5.26,2
671,Study for test,605727.5,3.32,5
672,Research paper,648809.67,7.35,4
673,Presentation,601882.07,3.0,2
674,Math problems,31956.85,2.77,4
675,Presentation,367682.59,11.02,4
676,Discussion post,299009.74,22.16,5
677,Research paper,155730.05,3.18,2
678,Research paper,9003.17,4.89,2
679,Coding assignment,21462.43,10.02,3
680,Discussion post,226235.81,10.48,2
681,Reading,275473.39,14.03,4
682,Presentation,105292.47,5.77,1
683,Essay,404375.28,4.64,4
684,Math problems,444841.07,9.76,4
685,Lab report,387810.3,10.54,2
686,Discussion post,426790.37,9.91,4
687,Essay,842773.18,11.34,3
688,Study for test,162176.07,3.23,3
689,Project,330768.54,22.51,3
690,Presentation,24116.06,20.53,5
691,Lab report,723298.38,9.66,5
692,Discussion post,204524.18,1.03,3
693,Reading,63110.1,4.63,3
694,Research paper,642234.11,5.91,4
695,Research paper,119200.49,4.04,1
696,Project,680605.54,8.93,4
697,Project,61122.09,9.0,5
698,Coding assignment,434926.96,4.24,4
699,Project,121035.35,21.45,4
700,Reading,498816.87,2.99,1
701,Coding assignment,49717.06,10.75,1
702,Lab report,753198.65,23.09,2
703,Lab report,873431.59,5.28,2
704,Discussion post,94527.56,1.79,3
705,Lab report,544532.97,16.43,1
706,Presentation,353017.04,5.15,2
707,Reading,749583.98,27.67,4
708,Discussion post,722782.39,12.1,1
709,Study for test,21399.38,10.79,3
710,Presentation,374949.49,4.45,3
711,Presentation,303641.24,27.67,3
712,Presentation,438780.89,18.37,2
713,Study for test,121873.99,3.55,3
714,Lab report,382338.49,10.98,5
715,Coding assignment,441892.71,4.32,5
716,Study for test,341006.96,2.98,5
717,Presentation,212502.93,11.14,4
718,Project,594697.06,10.94,1
719,Presentation,379295.04,11.23,1
720,Discussion post,537720.38,4.17,4
721,Presentation,640662.7,9.8,4
722,Study for test,93494.63,8.07,1
723,Project,375462.17,15.03,3
724,Presentation,688139.28,6.72,4
725,Essay,566847.6,12.03,2
726,Discussion post,508176.86,6.46,5
727,Lab report,392697.26,8.83,4
728,Project,715928.93,18.61,1
729,Research paper,716435.66,5.12,4
730,Research paper,743855.31,5.44,3
731,Project,324960.27,12.47,1
732,Math problems,848172.82,11.19,3
733,Discussion post,226594.49,4.5,3
734,Lab report,677939.03,2.26,3
735,Research paper,299671.74,7.37,4
736,Study for test,573848.09,15.84,5
737,Essay,92730.62,13.37,1
738,Discussion post,76965.8,11.52,4
739,Presentation,274377.29,3.71,3
740,Presentation,677806.22,6.67,3
741,Math problems,723760.71,4.58,2
742,Reading,713105.52,2.25,1
743,Essay,845080.2,22.21,3
744,Presentation,450248.73,20.46,1
745,Math problems,86323.98,4.8,1
746,Presentation,816130.8,10.83,1
747,Essay,396407.84,14.86,1
748,Presentation,704740.43,26.27,4
749,Essay,658801.95,5.86,1
750,Reading,688314.88,9.06,1
751,Lab report,825361.29,8.75,2
752,Essay,87228.93,13.58,5
753,Coding assignment,525584.72,11.48,2
754,Math problems,164528.08,18.72,5
755,Reading,24058.27,8.06,1
756,Discussion post,325566.62,11.66,2
757,Lab report,273490.14,22.81,4
758,Research paper,495953.29,2.07,2
759,Lab report,541688.41,13.11,4
760,Discussion post,51837.67,5.98,2
761,Lab report,366398.9,16.9,2
762,Coding assignment,46271.75,17.44,3
763,Study for test,560723.47,6.87,4
764,Lab report,273882.23,5.27,4
765,Research paper,843410.15,8.0,1
766,Reading,35690.69,3.58,5
767,Math problems,368700.26,7.02,3
768,Study for test,522233.75,5.13,4
769,Reading,635078.5,27.32,5
770,Reading,664235.0,7.45,3
771,Math problems,19128.53,4.28,1
772,Math problems,850665.73,11.18,4
773,Presentation,713240.47,5.42,5
774,Discussion post,732240.84,12.73,3
775,Coding assignment,466132.53,23.48,2
776,Discussion post,541288.96,16.9,3
